ID,Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seats_Available
1,"Auto Nagar to Hayathnagar",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 9356","Super Luxury (Non AC Seater 2+2 Push Back)",11:30:00,"06h 35m",18:05:00,4,469.00,34
2,"Rtc bus stand to Hayathnagar",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 3858","DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle)",11:30:00,"05h 00m",16:30:00,3.7,670.00,39
3,"Rtc bus stand to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 35269","AMARAVATHI (VOLVO / SCANIA A.C Multi Axle)",12:15:00,"06h 10m",18:25:00,3.7,720.00,36
4,"Auto Nagar to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 3601","Super Luxury (Non AC Seater 2+2 Push Back)",12:30:00,"08h 05m",20:35:00,2.5,469.00,32
5,"Rtc bus stand to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 3823","Super Luxury (Non AC Seater 2+2 Push Back)",13:00:00,"06h 45m",19:45:00,4,469.00,32
6,"Rtc bus stand to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 35117","INDRA(A.C. Seater)",13:00:00,"06h 09m",19:09:00,3.7,567.00,36
7,"Auto Nagar to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 3515","Super Luxury (Non AC Seater 2+2 Push Back)",13:00:00,"08h 00m",21:00:00,2,469.00,33
8,"Rtc bus stand to Hayathnagar",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 23879","Super Luxury (Non AC Seater 2+2 Push Back)",13:50:00,"05h 00m",18:50:00,3.4,436.00,25
9,"Auto Nagar to Hayathnagar",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 3562","Super Luxury (Non AC Seater 2+2 Push Back)",14:00:00,"06h 35m",20:35:00,2.7,436.00,32
10,"Rtc bus stand to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 3571","DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle)",14:00:00,"06h 04m",20:04:00,4.2,720.00,33
11,"Rtc bus stand to Hayathnagar",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 23545","INDRA(A.C. Seater)",14:15:00,"03h 45m",18:00:00,2.3,528.00,35
12,"Rtc bus stand to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 3825","Super Luxury (Non AC Seater 2+2 Push Back)",14:30:00,"06h 30m",21:00:00,2.8,469.00,34
13,"Auto Nagar to Hayathnagar",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 3549","Super Luxury (Non AC Seater 2+2 Push Back)",14:30:00,"06h 30m",21:00:00,4.6,436.00,33
14,"Rtc bus stand to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 3583","AMARAVATHI (VOLVO / SCANIA A.C Multi Axle)",14:30:00,"06h 00m",20:30:00,3.8,720.00,40
15,"Rtc bus stand to Hayathnagar",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 3886","DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle)",15:00:00,"05h 00m",20:00:00,4.3,670.00,34
16,"Auto Nagar to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 3525","Super Luxury (Non AC Seater 2+2 Push Back)",15:00:00,"08h 00m",23:00:00,3.7,469.00,33
17,"NIDAMANUR to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 35061","Super Luxury (Non AC Seater 2+2 Push Back)",15:15:00,"08h 00m",23:15:00,4,469.00,33
18,"Rtc bus stand to Hayathnagar",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 99611","Super Luxury (Non AC Seater 2+2 Push Back)",15:20:00,"04h 30m",19:50:00,4,436.00,26
19,"Auto Nagar to Hayathnagar",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 4052","Super Luxury (Non AC Seater 2+2 Push Back)",15:30:00,"06h 30m",22:00:00,3.8,436.00,33
20,"Rtc bus stand to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 3573","AMARAVATHI (VOLVO / SCANIA A.C Multi Axle)",15:30:00,"05h 55m",21:25:00,4.1,720.00,37
21,"Rtc bus stand to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 35271","INDRA(A.C. Seater)",16:00:00,"05h 50m",21:50:00,3.2,567.00,29
22,"Rtc bus stand to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 3585","AMARAVATHI (VOLVO / SCANIA A.C Multi Axle)",16:30:00,"05h 55m",22:25:00,4.4,720.00,37
23,"Rtc bus stand to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 35133","AMARAVATHI (VOLVO / SCANIA A.C Multi Axle)",17:00:00,"05h 50m",22:50:00,3.2,720.00,44
24,"Rtc bus stand to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 35135","AMARAVATHI (VOLVO / SCANIA A.C Multi Axle)",17:45:00,"05h 52m",23:37:00,4.3,720.00,42
25,"Rtc bus stand to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 35085","DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle)",18:30:00,"06h 00m",00:30:00,4,720.00,47
26,"Rtc bus stand to Hayathnagar",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 23507","INDRA(A.C. Seater)",19:00:00,"04h 00m",23:00:00,2.4,528.00,26
27,"Auto Nagar to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 3613","Super Luxury (Non AC Seater 2+2 Push Back)",19:00:00,"07h 42m",02:42:00,3.1,469.00,33
28,"Auto Nagar to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 9316","Super Luxury (Non AC Seater 2+2 Push Back)",20:20:00,"07h 50m",04:10:00,4.1,469.00,31
29,"Rtc bus stand to Hayathnagar",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 35189","DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle)",20:30:00,"04h 35m",01:05:00,3.9,670.00,42
30,"Auto Nagar to Hayathnagar",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 4046","Super Luxury (Non AC Seater 2+2 Push Back)",21:00:00,"06h 40m",03:40:00,4.1,469.00,27
31,"Auto Nagar to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 9651","Super Luxury (Non AC Seater 2+2 Push Back)",21:00:00,"07h 41m",04:41:00,4.5,469.00,30
32,"Auto Nagar to Hayathnagar",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 9932","STAR LINER(NON-AC SLEEPER 2+1)",21:30:00,"06h 15m",03:45:00,3.2,578.00,27
33,"Auto Nagar to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 9654","Super Luxury (Non AC Seater 2+2 Push Back)",21:40:00,"07h 40m",05:20:00,3,469.00,30
34,"PRODDUTUR X ROAD-VJA to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 40568","Super Luxury (Non AC Seater 2+2 Push Back)",21:42:00,"08h 18m",06:00:00,4.7,469.00,25
35,"Rtc bus stand to Hayathnagar",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 35179","VENNELA (A.C. SLEEPER)",21:45:00,"04h 35m",02:20:00,4.6,781.00,14
36,"Rtc bus stand to Hayathnagar",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 3916","Super Luxury (Non AC Seater 2+2 Push Back)",21:45:00,"05h 05m",02:50:00,4.1,469.00,29
37,"PORANKI to Hayathnagar",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 38201","Super Luxury (Non AC Seater 2+2 Push Back)",21:52:00,"06h 08m",04:00:00,4,469.00,29
38,"Rtc bus stand to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 4320","INDRA(A.C. Seater)",22:00:00,"06h 25m",04:25:00,3,567.00,26
39,"Auto Nagar to Hayathnagar",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 3908","Super Luxury (Non AC Seater 2+2 Push Back)",22:00:00,"06h 25m",04:25:00,3.7,469.00,26
40,"Rtc bus stand to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 35155","AMARAVATHI (VOLVO / SCANIA A.C Multi Axle)",22:00:00,"05h 42m",03:42:00,4.1,720.00,42
41,"Auto Nagar to Hayathnagar",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 4048","Super Luxury (Non AC Seater 2+2 Push Back)",22:00:00,"06h 20m",04:20:00,4.5,469.00,22
42,"PORANKI to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 3970","Super Luxury (Non AC Seater 2+2 Push Back)",22:05:00,"07h 15m",05:20:00,4,469.00,24
43,"Enikepadu to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 4792","INDRA(A.C. Seater)",22:05:00,"07h 05m",05:10:00,3.4,567.00,27
44,"NIDAMANUR to Kukatpally",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,"APSRTC - 35118","INDRA(A.C. Seater)",22:05:00,"06h 45m",04:50:00,3.9,567.00,34
