,Serial Number,Route Link,Route Name,Boarding_point,Destination
0,1,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad
1,2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
2,3,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam,Kakinada,Visakhapatnam
3,4,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada,Visakhapatnam,Kakinada
4,5,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore,Chittoor (Andhra Pradesh),Bangalore
5,6,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore,Kadapa,Bangalore
6,7,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore,Anantapur (andhra pradesh),Bangalore
7,8,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore,Tirupati,Bangalore
8,9,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada,Visakhapatnam,Vijayawada
9,10,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad,Ongole,Hyderabad
10,11,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati,Bangalore,Tirupati
11,12,https://www.redbus.in/bus-tickets/macherla-to-hyderabad,Macherla (andhra pradesh) to Hyderabad,Macherla (andhra pradesh),Hyderabad
12,13,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Rajahmundry to Visakhapatnam,Rajahmundry,Visakhapatnam
13,14,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,Nandyal to Hyderabad,Nandyal,Hyderabad
14,15,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa,Bangalore,Kadapa
15,16,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole,Hyderabad,Ongole
16,17,https://www.redbus.in/bus-tickets/guntur-to-hyderabad,Guntur (Andhra Pradesh) to Hyderabad,Guntur (Andhra Pradesh),Hyderabad
17,18,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam,Vijayawada,Visakhapatnam
18,19,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,Rajahmundry to Vijayawada,Rajahmundry,Vijayawada
19,20,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Hyderabad to Kurnool,Hyderabad,Kurnool
20,21,https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Bangalore to Chittoor (Andhra Pradesh),Bangalore,Chittoor (Andhra Pradesh)
21,22,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Kurnool to Hyderabad,Kurnool,Hyderabad
22,23,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry,Visakhapatnam to Rajahmundry,Visakhapatnam,Rajahmundry
23,24,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,Rayachoti to Bangalore,Rayachoti,Bangalore
24,25,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad,Vinukonda,Hyderabad
25,26,https://www.redbus.in/bus-tickets/bangalore-to-ananthapur,Bangalore to Anantapur (andhra pradesh),Bangalore,Anantapur (andhra pradesh)
26,27,https://www.redbus.in/bus-tickets/amalapuram-to-visakhapatnam,Amalapuram to Visakhapatnam,Amalapuram,Visakhapatnam
27,28,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Vijayawada to Tirupati,Vijayawada,Tirupati
28,29,https://www.redbus.in/bus-tickets/madanapalli-to-bangalore,Madanapalli to Bangalore,Madanapalli,Bangalore
29,30,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad,Narasaraopet,Hyderabad
30,31,https://www.redbus.in/bus-tickets/eluru-to-hyderabad,Eluru to Hyderabad,Eluru,Hyderabad
31,32,https://www.redbus.in/bus-tickets/visakhapatnam-to-amalapuram,Visakhapatnam to Amalapuram,Visakhapatnam,Amalapuram
32,33,https://www.redbus.in/bus-tickets/kadiri-to-bangalore,Kadiri to Bangalore,Kadiri,Bangalore
33,34,https://www.redbus.in/bus-tickets/chennai-to-tirupathi,Chennai to Tirupati,Chennai,Tirupati
34,35,https://www.redbus.in/bus-tickets/rajahmundry-to-hyderabad,Rajahmundry to Hyderabad,Rajahmundry,Hyderabad
35,36,https://www.redbus.in/bus-tickets/kurnool-to-vijayawada,Kurnool to Vijayawada,Kurnool,Vijayawada
36,37,https://www.redbus.in/bus-tickets/vijayawada-to-kurnool,Vijayawada to Kurnool,Vijayawada,Kurnool
37,38,https://www.redbus.in/bus-tickets/kakinada-to-vijayawada,Kakinada to Vijayawada,Kakinada,Vijayawada
38,39,https://www.redbus.in/bus-tickets/bangalore-to-madanapalli,Bangalore to Madanapalli,Bangalore,Madanapalli
39,40,https://www.redbus.in/bus-tickets/nellore-to-bangalore,Nellore to Bangalore,Nellore,Bangalore
40,41,https://www.redbus.in/bus-tickets/hyderabad-to-narsaraopet,Hyderabad to Narasaraopet,Hyderabad,Narasaraopet
41,42,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh),Hyderabad,Guntur (Andhra Pradesh)
42,43,https://www.redbus.in/bus-tickets/bangalore-to-kadiri,Bangalore to Kadiri,Bangalore,Kadiri
43,44,https://www.redbus.in/bus-tickets/vijayawada-to-rajahmundry,Vijayawada to Rajahmundry,Vijayawada,Rajahmundry
44,45,https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti,Bangalore,Rayachoti
45,46,https://www.redbus.in/bus-tickets/kurnool-to-bangalore,Kurnool to Bangalore,Kurnool,Bangalore
46,47,https://www.redbus.in/bus-tickets/tirupathi-to-chennai,Tirupati to Chennai,Tirupati,Chennai
47,48,https://www.redbus.in/bus-tickets/hyderabad-to-ananthapur,Hyderabad to Anantapur (andhra pradesh),Hyderabad,Anantapur (andhra pradesh)
48,49,https://www.redbus.in/bus-tickets/ananthapur-to-hyderabad,Anantapur (andhra pradesh) to Hyderabad,Anantapur (andhra pradesh),Hyderabad
49,50,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Khammam,Hyderabad
50,51,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
51,52,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam,Hyderabad,Khammam
52,53,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam,Hyderabad,Srisailam
53,54,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad,Karimnagar,Hyderabad
54,55,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Hyderabad to Nirmal,Hyderabad,Nirmal
55,56,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,Hyderabad to Mancherial,Hyderabad,Mancherial
56,57,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,Hyderabad to Adilabad,Hyderabad,Adilabad
57,58,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,Hyderabad to Karimnagar,Hyderabad,Karimnagar
58,59,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad,Kothagudem,Hyderabad
59,60,https://www.redbus.in/bus-tickets/guntur-to-hyderabad,Guntur (Andhra Pradesh) to Hyderabad,Guntur (Andhra Pradesh),Hyderabad
60,61,https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad,Godavarikhani to Hyderabad,Godavarikhani,Hyderabad
61,62,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,Kodad to Hyderabad,Kodad,Hyderabad
62,63,https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam,Hyderabad,Bhadrachalam
63,64,https://www.redbus.in/bus-tickets/hyderabad-to-kothagudem,Hyderabad to Kothagudem,Hyderabad,Kothagudem
64,65,https://www.redbus.in/bus-tickets/jagityal-to-hyderabad,Jagityal to Hyderabad,Jagityal,Hyderabad
65,66,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Hyderabad to Kurnool,Hyderabad,Kurnool
66,67,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli,Hyderabad to Sathupally,Hyderabad,Sathupally
67,68,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,Hyderabad to Armoor,Hyderabad,Armoor
68,69,https://www.redbus.in/bus-tickets/hyderabad-to-godavarikhani,Hyderabad to Godavarikhani,Hyderabad,Godavarikhani
69,70,https://www.redbus.in/bus-tickets/hyderabad-to-ananthapur,Hyderabad to Anantapur (andhra pradesh),Hyderabad,Anantapur (andhra pradesh)
70,71,https://www.redbus.in/bus-tickets/hyderabad-to-warangal,Hyderabad to Warangal,Hyderabad,Warangal
71,72,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole,Hyderabad,Ongole
72,73,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh),Hyderabad,Guntur (Andhra Pradesh)
73,74,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,Kadapa to Hyderabad,Kadapa,Hyderabad
74,75,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Hyderabad to Tirupati,Hyderabad,Tirupati
75,76,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Bangalore,Kozhikode
76,77,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kozhikode,Ernakulam
77,78,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kozhikode,Bangalore
78,79,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Ernakulam,Kozhikode
79,80,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore,Kozhikode,Mysore
80,81,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram,Kozhikode,Thiruvananthapuram
81,82,https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Bangalore to Kalpetta (kerala),Bangalore,Kalpetta (kerala)
82,83,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,Mysore to Kozhikode,Mysore,Kozhikode
83,84,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore,Kalpetta (kerala) to Bangalore,Kalpetta (kerala),Bangalore
84,85,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur,Kozhikode to Thrissur,Kozhikode,Thrissur
85,86,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode,Thiruvananthapuram to Kozhikode,Thiruvananthapuram,Kozhikode
86,87,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur,Bangalore,Kannur
87,88,https://www.redbus.in/bus-tickets/kozhikode-to-kottayam,Kozhikode to Kottayam,Kozhikode,Kottayam
88,89,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore,Kannur,Bangalore
89,90,https://www.redbus.in/bus-tickets/kottayam-to-kozhikode,Kottayam to Kozhikode,Kottayam,Kozhikode
90,91,https://www.redbus.in/bus-tickets/thrissur-to-kozhikode,Thrissur to Kozhikode,Thrissur,Kozhikode
91,92,https://www.redbus.in/bus-tickets/kozhikode-to-kalpetta,Kozhikode to Kalpetta (kerala),Kozhikode,Kalpetta (kerala)
92,93,https://www.redbus.in/bus-tickets/coimbatore-to-ooty,Coimbatore to Ooty,Coimbatore,Ooty
93,94,https://www.redbus.in/bus-tickets/kalpetta-to-kozhikode,Kalpetta (kerala) to Kozhikode,Kalpetta (kerala),Kozhikode
94,95,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata,Burdwan,Kolkata
95,96,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan,Kolkata,Burdwan
96,97,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,Durgapur (West Bengal),Kolkata
97,98,https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia,Kolkata,Haldia
98,99,https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Kolkata,Haldia,Kolkata
99,100,https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Kolkata,Durgapur (West Bengal)
100,101,https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,Kolkata to Arambagh (West Bengal),Kolkata,Arambagh (West Bengal)
101,102,https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata,Digha,Kolkata
102,103,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Kolkata,Digha
103,104,https://www.redbus.in/bus-tickets/kolkata-to-bankura,Kolkata to Bankura,Kolkata,Bankura
104,105,https://www.redbus.in/bus-tickets/asansol-to-kolkata,Asansol (West Bengal) to Kolkata,Asansol (West Bengal),Kolkata
